trip_id,date_raw,time_of_day,season,route_number,corridor,cbd_stage,sacco,vehicle_type,vehicle_name,capacity,passenger_count,fare_kes,distance_km,fuel_type,fuel_consumption,payment_method,revenue_kes,fuel_price_per_unit
TRP003723,45301,AFTERNOON,Dry Season,69,Outering Road,OTC,Zuri,standard,Standard Unit,33 seater,33,KES150,24.8,Petrol,23.1 L/100km,M-Pesa,4950/-,179.43
TRP006051,45637,Evening,short rains,102,Kikuyu,Railways,East Shuttle,Standard,Standard Unit,14,14,Ksh 124,8.6,Diesel,28.4l/100km,mpesa,1737/-,KES168.20
TRP011533,45770,Mornig,LONG RAINS,111,Ngong Road,Railways,OMA Services,Nganya,Night Nurse,25 seater,25,Ksh 200,16.5,PETROL,25.72,M-Pesa,5000,204.5/=
TRP009690,45671,Aftenoon,Dry Season,KU1,Kenyatta University,Odeon,kenya mpya,STANDARD,Standard Unit,33,33,150,25,Petrol,24.8l/100km,cash,4950,KES206.95
TRP003353,45228,Morning,short rains,69,Outering Road,OTC,city shuttle,Nganya,Manchesa,33,33,Ksh 200,22.35 km,diesel,21.4 L/100km,Mpesa,KSH 6600/=,Ksh 175.48
TRP006474,45697,MORNING,Dry Season,105,Kikuyu,Railways,CITY SHUTTLE,Nganya,Manchesa,25 seater,25,200,15,DIESEL,18.0l/100km,M-Pesa,5000,Ksh 203.63
TRP012193,29/09/2023,Afternoon,Dry Season,46,Kawangware,Kencom,citi hoppa,Electric,BasiGo E-Bus,25,25,73.87,9.6,Electric,49.0 kWh/100km,CASH,1846.84,Ksh 25.20
TRP002637,44984,Aftenoon,dry season,34E,Embakasi,OTC,embassava,Standard,Standard Unit,25,25,KSH 97/=,11.7,Diesel,20.0l/100km,CASH,2434,181.4/=
TRP002287,45111,AM,Long Rains,34F,Fedha,OTC,Embassava,standard,Standard Unit,33,33,KSH 150/=,24.8,diesel,28.54,Cash,4950,KES183.12
TRP002334,26/02/2025,MORNING,Dry Season,33,Pipeline,OTC,Forward Travelers,NGANYA,B613,14 seater,14,198.9,16,DIESEL,27.6 L/100km,cash,Ksh 2785,203.5/=
TRP012271,45324,AM,Dry Season,48A,Lavington-Kawangware,Ambassador,City Shuttle,Standard,Standard Unit,25,25,150,18.4,Diesel,28.4 L/100km,M-Pesa,Ksh 3750,162.52
TRP011793,45963,Eve,DRY SEASON,11A,Langata Road,Railways,KBS,Standard,Standard Unit,25,25,150,24km,Petrol,18.2 L/100km,MPESA ,Ksh 3750,211.86
