trip_id,time_of_day,season,corridor,cbd_stage,sacco,vehicle_type,vehicle_name,passenger_count,fuel_type,payment_method,vehicle_capacity,fare(ksh),fuel_consumption(Litrers/100km),fuel_price(unit),revenue(ksh),fuel_cost,profit(ksh),date_clean,distance_km_clean,route_number
TRP003723,Afternoon,Dry Season,Outering Road,OTC,Zuri,Standard,Standard Unit,33,Petrol,M-Pesa,33,150,23.1,179.43,4950,1027.92,3922.08,1/10/2024,24.8,69
TRP006051,Evening,Short Rains,Kikuyu,Railways,East Shuttle,Standard,Standard Unit,14,Diesel,M-Pesa,14,124,28.4,168.2,1736,410.81,1325.19,12/11/2024,8.6,102
TRP011533,Morning,Long Rains,Ngong Road,Railways,Oma Services,Nganya,Night Nurse,25,Petrol,M-Pesa,25,200,25.72,204.5,5000,867.86,4132.14,4/23/2025,16.5,111
TRP009690,Afternoon,Dry Season,Kenyatta University,Odeon,Kenya Mpya,Standard,Standard Unit,33,Petrol,Cash,33,150,24.8,206.95,4950,1283.09,3666.91,1/14/2025,25,Ku1
TRP003353,Morning,Short Rains,Outering Road,OTC,City Shuttle,Nganya,Manchesa,33,Diesel,M-Pesa,33,200,21.4,175.48,6600,839.3,5760.7,10/29/2023,22.35,69
TRP006474,Morning,Dry Season,Kikuyu,Railways,City Shuttle,Nganya,Manchesa,25,Diesel,M-Pesa,25,200,18,203.63,5000,549.8,4450.2,2/9/2025,15,105
TRP012193,Afternoon,Dry Season,Kawangware,Kencom,Citi Hoppa,Electric,Basigo E-Bus,25,Electric,Cash,25,73.87,49,25.2,1846.75,118.54,1728.21,9/29/2023,9.6,46
TRP002637,Afternoon,Dry Season,Embakasi,OTC,Embassava,Standard,Standard Unit,25,Diesel,Cash,25,97,20,181.4,2425,424.48,2000.52,2/27/2023,11.7,34E
TRP002287,Morning,Long Rains,Fedha,OTC,Embassava,Standard,Standard Unit,33,Diesel,Cash,33,150,28.54,183.12,4950,1296.11,3653.89,7/4/2023,24.8,34F
TRP002334,Morning,Dry Season,Pipeline,OTC,Forward Travelers,Nganya,B613,14,Diesel,Cash,14,198.9,27.6,203.5,2784.6,898.66,1885.94,2/26/2025,16,33
TRP012271,Morning,Dry Season,Lavington-Kawangware,Ambassador,City Shuttle,Standard,Standard Unit,25,Diesel,M-Pesa,25,150,28.4,162.52,3750,849.26,2900.74,2/2/2024,18.4,48A
TRP011793,Evening,Dry Season,Langata Road,Railways,KBS,Standard,Standard Unit,25,Petrol,M-Pesa,25,150,18.2,211.86,3750,925.4,2824.6,11/2/2025,24,11A
TRP003931,Night,Dry Season,Mwiki-Upper Hill,Odeon,Oma Services,Electric,Basigo E-Bus,25,Electric,Cash,25,78.29,54,25.78,1957.25,129.75,1827.5,2/10/2023,9.32,Mwi1
TRP010292,Evening,Long Rains,Nyayo Estate-Westlands,Railways,Manchester,Standard,Standard Unit,33,Diesel,M-Pesa,33,150,21.7,175.24,4950,-157.81,5107.81,5/30/2024,4.15,Exp1
TRP006082,Evening,Dry Season,Outering Road,OTC,Manchester,Nganya,Scorpion,25,Petrol,Cash,25,87,30.8,176.5,2175,418.59,1756.41,7/1/2024,7.7,73
TRP008362,Afternoon,Short Rains,Lavington-Kawangware,Ambassador,East Shuttle,Standard,Standard Unit,25,Petrol,M-Pesa,25,150,24,209.4,3750,913.65,2836.35,11/17/2025,18.18,48A
TRP005142,Afternoon,Dry Season,Lavington-Kawangware,Ambassador,Manchester,Nganya,Opposite,25,Diesel,Cash,25,131,25.97,160.76,3275,571.13,2703.87,9/29/2024,13.68,48A
TRP008991,Evening,Short Rains,Pipeline,OTC,Forward Travelers,Nganya,Opposite,25,Petrol,Cash,25,200,25.3,181.83,5000,1012.07,3987.93,10/26/2024,22,33
TRP014253,Evening,Dry Season,Eastleigh,Odeon,Super Metro,Standard,Standard Unit,25,Diesel,Cash,25,150,30.11,174.7,3750,1157.25,2592.75,7/28/2024,22,14A
TRP003327,Afternoon,Short Rains,Lavington-Kawangware,Kencom,Manchester,Standard,Standard Unit,33,Diesel,M-Pesa,33,94.29,26.32,186.77,3111.57,515.17,2596.4,11/20/2023,10.48,56
TRP014208,Evening,Dry Season,Westlands,Kencom,Citi Hoppa,Nganya,Night Nurse,14,Diesel,Cash,14,200,20.2,181.6,2800,953.76,1846.24,8/9/2023,26,30
TRP005945,Evening,Dry Season,Kikuyu,Railways,Manchester,Nganya,Sabaki,25,Diesel,Cash,25,200,26.9,179.85,5000,1064.35,3935.65,9/8/2023,22,105
TRP003537,Evening,Dry Season,Kibra,Railways,East Shuttle,Standard,Standard Unit,33,Diesel,Cash,33,99,21.4,199.6,3267,427.14,2839.86,6/8/2025,10,8B
TRP016124,Evening,Dry Season,Kenyatta University,Odeon,Kenya Mpya,Standard,Standard Unit,33,Petrol,M-Pesa,33,91,30.9,209.76,3003,780.38,2222.62,8/3/2025,12.04,Ku1
TRP006668,Evening,Short Rains,Westlands,Railways,Citi Hoppa,Nganya,Kanambo,25,Diesel,M-Pesa,25,62.26,25.4,171.25,1556.5,260.98,1295.52,11/7/2023,6,23A
